STNAME,CTYNAME,YEAR,POPULATION
Illinois,Greene County,2007,13680
Illinois,Grundy County,2007,47094
Illinois,Hamilton County,2007,8148
Illinois,Hancock County,2007,18761
Illinois,Hardin County,2007,4462
Illinois,Henderson County,2007,7551
Illinois,Henry County,2007,49521
Illinois,Iroquois County,2007,30018
Illinois,Jackson County,2007,58216
Illinois,Jasper County,2007,9619
Illinois,Jefferson County,2007,40096
Illinois,Jersey County,2007,22379
Illinois,Jo Daviess County,2007,22169
Illinois,Johnson County,2007,13688
Illinois,Kane County,2007,495416
Illinois,Kankakee County,2007,111725
Illinois,Kendall County,2007,97112
Illinois,Knox County,2007,51932
Illinois,Lake County,2007,702479
Illinois,LaSalle County,2007,112498
Illinois,Lawrence County,2007,16598
Illinois,Lee County,2007,35150
Illinois,Livingston County,2007,37983
Illinois,Logan County,2007,29880
Illinois,McDonough County,2007,33080
Illinois,McHenry County,2007,314696
Illinois,McLean County,2007,163983
Illinois,Macon County,2007,108722
Illinois,Macoupin County,2007,48234
Illinois,Madison County,2007,267105
Illinois,Marion County,2007,39584
Illinois,Marshall County,2007,12895
Illinois,Mason County,2007,15048
Illinois,Massac County,2007,15113
Illinois,Menard County,2007,12518
Illinois,Mercer County,2007,16429
Illinois,Monroe County,2007,32441
Illinois,Montgomery County,2007,29789
Illinois,Morgan County,2007,35360
Illinois,Moultrie County,2007,14346
Illinois,Ogle County,2007,55023
Illinois,Peoria County,2007,183088
Illinois,Perry County,2007,22582
Illinois,Piatt County,2007,16456
Illinois,Pike County,2007,16576
Illinois,Pope County,2007,4108
Illinois,Pulaski County,2007,6444
Illinois,Putnam County,2007,5986
Illinois,Randolph County,2007,32826
Illinois,Richland County,2007,15609
Illinois,Rock Island County,2007,147071
Illinois,St. Clair County,2007,261238
Illinois,Saline County,2007,26008
Illinois,Sangamon County,2007,193845
Illinois,Schuyler County,2007,6943
Illinois,Scott County,2007,5219
Illinois,Shelby County,2007,21753
Illinois,Stark County,2007,6088
Illinois,Stephenson County,2007,46723
Illinois,Tazewell County,2007,130972
Illinois,Union County,2007,18123
Illinois,Vermilion County,2007,80910
Illinois,Wabash County,2007,12181
Illinois,Warren County,2007,17591
Illinois,Washington County,2007,14725
Illinois,Wayne County,2007,16594
Illinois,White County,2007,14674
Illinois,Whiteside County,2007,58972
Illinois,Will County,2007,670013
Illinois,Williamson County,2007,64248
Illinois,Winnebago County,2007,297603
Illinois,Woodford County,2007,37972
Illinois,Adams County,2008,66895
Illinois,Alexander County,2008,8112
Illinois,Bond County,2008,18185
Illinois,Boone County,2008,53892
Illinois,Brown County,2008,6564
Illinois,Bureau County,2008,34759
