STNAME,CTYNAME,YEAR,POPULATION
New York,Allegany County,2014,47671
New York,Bronx County,2014,1430474
New York,Broome County,2014,197295
New York,Cattaraugus County,2014,78690
New York,Cayuga County,2014,78782
New York,Chautauqua County,2014,131792
New York,Chemung County,2014,87239
New York,Chenango County,2014,49339
New York,Clinton County,2014,81497
New York,Columbia County,2014,61956
New York,Cortland County,2014,48747
New York,Delaware County,2014,46567
New York,Dutchess County,2014,295162
New York,Erie County,2014,921934
New York,Essex County,2014,38333
New York,Franklin County,2014,51110
New York,Fulton County,2014,53940
New York,Genesee County,2014,58745
New York,Greene County,2014,47963
New York,Hamilton County,2014,4701
New York,Herkimer County,2014,63393
New York,Jefferson County,2014,118121
New York,Kings County,2014,2601527
New York,Lewis County,2014,27085
New York,Livingston County,2014,64574
New York,Madison County,2014,72251
New York,Monroe County,2014,747583
New York,Montgomery County,2014,49689
New York,Nassau County,2014,1354851
New York,New York County,2014,1631733
New York,Niagara County,2014,213331
New York,Oneida County,2014,232634
New York,Onondaga County,2014,467472
New York,Ontario County,2014,109378
New York,Orange County,2014,374945
New York,Orleans County,2014,41864
New York,Oswego County,2014,120611
New York,Otsego County,2014,60973
